feature,lag,lag_hours,valid_n,pearson_corr,pearson_abs,spearman_corr,spearman_abs
R/W CLR,4,8,5456,0.12665909566166644,0.12665909566166644,0.06773174213962568,0.06773174213962568
R/W CLR,5,10,5455,0.1253498249048146,0.1253498249048146,0.07031174331506589,0.07031174331506589
R/W CLR,6,12,5454,0.1274918871185123,0.1274918871185123,0.07211908885387312,0.07211908885387312
R/W CLR,7,14,5453,0.12950693239451772,0.12950693239451772,0.07412305972927806,0.07412305972927806
R/W CLR,8,16,5452,0.13118010793837231,0.13118010793837231,0.0735746011031054,0.0735746011031054
R/W CLR,9,18,5451,0.13274457995217034,0.13274457995217034,0.07076807908238328,0.07076807908238328
R/W CLR,10,20,5450,0.13311404974282748,0.13311404974282748,0.0694404877792152,0.0694404877792152
R/W CLR,11,22,5449,0.13566976443468567,0.13566976443468567,0.06910927322494272,0.06910927322494272
R/W CLR,12,24,5448,0.1398998183352584,0.1398998183352584,0.07113150910906525,0.07113150910906525
ALUM,0,0,3816,-0.03347752047890304,0.03347752047890304,0.06138876679577608,0.06138876679577608
ALUM,1,2,3815,-0.034383611922555915,0.034383611922555915,0.06389364228152346,0.06389364228152346
ALUM,2,4,3814,-0.037894924148219156,0.037894924148219156,0.06646021527467277,0.06646021527467277
ALUM,3,6,3813,-0.0383735129193879,0.0383735129193879,0.06818549604864531,0.06818549604864531
ALUM,4,8,3812,-0.03878226020658259,0.03878226020658259,0.068296204011399,0.068296204011399
ALUM,5,10,3811,-0.03843892943945143,0.03843892943945143,0.06964349789073153,0.06964349789073153
ALUM,6,12,3810,-0.03728927552400534,0.03728927552400534,0.07123968437020334,0.07123968437020334
ALUM,7,14,3809,-0.03516393721086772,0.03516393721086772,0.07390968865162072,0.07390968865162072
ALUM,8,16,3808,-0.02920829163723759,0.02920829163723759,0.07541691563919228,0.07541691563919228
ALUM,9,18,3807,-0.02238404833138543,0.02238404833138543,0.07576020851423747,0.07576020851423747
ALUM,10,20,3806,-0.02089313715727804,0.02089313715727804,0.07655780568535031,0.07655780568535031
ALUM,11,22,3805,-0.02293246292713575,0.02293246292713575,0.07697360955260885,0.07697360955260885
ALUM,12,24,3804,-0.02276446390371266,0.02276446390371266,0.07854283255647389,0.07854283255647389
F/RIDE,0,0,5460,-0.014815787683533333,0.014815787683533333,-0.08311095437027366,0.08311095437027366
F/RIDE,1,2,5459,-0.015040493338647947,0.015040493338647947,-0.08207056711080288,0.08207056711080288
F/RIDE,2,4,5458,-0.01521040034818689,0.01521040034818689,-0.08115904195246654,0.08115904195246654
F/RIDE,3,6,5457,-0.01522420529885638,0.01522420529885638,-0.07951998512268542,0.07951998512268542
F/RIDE,4,8,5456,-0.015122325426879722,0.015122325426879722,-0.07810613262917379,0.07810613262917379
F/RIDE,5,10,5455,-0.015225815364078781,0.015225815364078781,-0.07615361942477729,0.07615361942477729
F/RIDE,6,12,5454,-0.015168087479060694,0.015168087479060694,-0.07446281506155808,0.07446281506155808
F/RIDE,7,14,5453,-0.014991495803135666,0.014991495803135666,-0.07377916765153275,0.07377916765153275
F/RIDE,8,16,5452,-0.014933652994664521,0.014933652994664521,-0.07325089916082798,0.07325089916082798
F/RIDE,9,18,5451,-0.015119047315612704,0.015119047315612704,-0.07274049131383375,0.07274049131383375
F/RIDE,10,20,5450,-0.015110811930015742,0.015110811930015742,-0.07199618918508134,0.07199618918508134
F/RIDE,11,22,5449,-0.014905402715949763,0.014905402715949763,-0.07061183231914266,0.07061183231914266
F/RIDE,12,24,5448,-0.01467092061396531,0.01467092061396531,-0.06922516819863116,0.06922516819863116
RIVER LEVEL,0,0,5460,0.16118563172623246,0.16118563172623246,0.17473902916487508,0.17473902916487508
RIVER LEVEL,1,2,5459,0.16481226142120442,0.16481226142120442,0.17750177734853048,0.17750177734853048
RIVER LEVEL,2,4,5458,0.16899092226645968,0.16899092226645968,0.180368061546399,0.180368061546399
RIVER LEVEL,3,6,5457,0.17305627810287835,0.17305627810287835,0.1813607985527388,0.1813607985527388
RIVER LEVEL,4,8,5456,0.1781646254410316,0.1781646254410316,0.18250195933728555,0.18250195933728555
RIVER LEVEL,5,10,5455,0.17870770901411892,0.17870770901411892,0.18354231737096782,0.18354231737096782
RIVER LEVEL,6,12,5454,0.1783643970537504,0.1783643970537504,0.1834371625908316,0.1834371625908316
RIVER LEVEL,7,14,5453,0.1796845554444584,0.1796845554444584,0.18375876439671376,0.18375876439671376
RIVER LEVEL,8,16,5452,0.1825961127602789,0.1825961127602789,0.1842501663920527,0.1842501663920527
RIVER LEVEL,9,18,5451,0.1868938702781141,0.1868938702781141,0.1840488316543567,0.1840488316543567
RIVER LEVEL,10,20,5450,0.19098268591139625,0.19098268591139625,0.1812905917800109,0.1812905917800109
RIVER LEVEL,11,22,5449,0.19359346375942244,0.19359346375942244,0.1779398800647707,0.1779398800647707
RIVER LEVEL,12,24,5448,0.1951389275112647,0.1951389275112647,0.1777739800027929,0.1777739800027929
